Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2000-08-11,EQIX,408.0,448.0,384.0,420.0,310.4255676269531,792528
2000-08-11,EQIX,408.0,448.0,384.0,420.0,310.4255676269531,792528
2000-08-14,EQIX,419.0,420.0,384.0,384.0,283.817626953125,80228
2000-08-14,EQIX,419.0,420.0,384.0,384.0,283.817626953125,80228
2000-08-15,EQIX,389.0,396.0,384.0,388.0,286.774169921875,48422
2000-08-15,EQIX,389.0,396.0,384.0,388.0,286.774169921875,48422
2000-08-16,EQIX,386.0,418.0,386.0,396.0,292.68701171875,42166
2000-08-16,EQIX,386.0,418.0,386.0,396.0,292.68701171875,42166
2000-08-17,EQIX,392.0,400.0,382.0,384.0,283.817626953125,47247
2000-08-17,EQIX,392.0,400.0,382.0,384.0,283.817626953125,47247
2000-08-18,EQIX,401.0,460.0,396.0,458.0,338.5118103027344,60400
2000-08-18,EQIX,401.0,460.0,396.0,458.0,338.5118103027344,60400
2000-08-21,EQIX,482.0,520.0,446.0,486.0,359.2067565917969,66547
2000-08-21,EQIX,482.0,520.0,446.0,486.0,359.2067565917969,66547
2000-08-22,EQIX,492.0,502.0,432.0,432.0,319.294921875,33878
2000-08-22,EQIX,492.0,502.0,432.0,432.0,319.294921875,33878
2000-08-23,EQIX,434.0,440.0,408.0,416.0,307.4691772460937,17925
2000-08-23,EQIX,434.0,440.0,408.0,416.0,307.4691772460937,17925
2000-08-24,EQIX,414.0,418.0,386.0,386.0,285.2960510253906,18441
2000-08-24,EQIX,414.0,418.0,386.0,386.0,285.2960510253906,18441
2000-08-25,EQIX,402.0,414.0,388.0,412.0,304.5126037597656,20113
2000-08-25,EQIX,402.0,414.0,388.0,412.0,304.5126037597656,20113
2000-08-28,EQIX,429.0,433.5,400.0,420.0,310.4255676269531,19491
2000-08-28,EQIX,429.0,433.5,400.0,420.0,310.4255676269531,19491
2000-08-29,EQIX,430.0,432.0,404.0,428.0,316.3384704589844,22728
2000-08-29,EQIX,430.0,432.0,404.0,428.0,316.3384704589844,22728
2000-08-30,EQIX,427.0,470.0,424.0,454.0,335.5553283691406,19891
2000-08-30,EQIX,427.0,470.0,424.0,454.0,335.5553283691406,19891
2000-08-31,EQIX,482.0,528.0,476.0,518.0,382.8582458496094,87397
2000-08-31,EQIX,482.0,528.0,476.0,518.0,382.8582458496094,87397
2000-09-01,EQIX,516.0,520.0,480.0,504.0,372.5107421875,27738
2000-09-01,EQIX,516.0,520.0,480.0,504.0,372.5107421875,27738
2000-09-05,EQIX,506.0,520.0,496.0,498.0,368.07611083984375,23025
2000-09-05,EQIX,506.0,520.0,496.0,498.0,368.07611083984375,23025
2000-09-06,EQIX,516.0,520.0,488.0,496.0,366.597900390625,20559
2000-09-06,EQIX,516.0,520.0,488.0,496.0,366.597900390625,20559
2000-09-07,EQIX,512.0,512.0,428.0,460.0,339.98992919921875,23959
2000-09-07,EQIX,512.0,512.0,428.0,460.0,339.98992919921875,23959
2000-09-08,EQIX,456.5,464.0,440.0,448.0,331.1206359863281,15956
2000-09-08,EQIX,456.5,464.0,440.0,448.0,331.1206359863281,15956
2000-09-11,EQIX,442.0,448.0,432.0,444.0,328.16424560546875,34547
2000-09-11,EQIX,442.0,448.0,432.0,444.0,328.16424560546875,34547
2000-09-12,EQIX,435.0,442.0,412.0,416.0,307.4691772460937,33853
2000-09-12,EQIX,435.0,442.0,412.0,416.0,307.4691772460937,33853
2000-09-13,EQIX,408.0,420.0,396.0,400.0,295.6434936523437,10363
2000-09-13,EQIX,408.0,420.0,396.0,400.0,295.6434936523437,10363
2000-09-14,EQIX,444.0,444.0,400.0,406.0,300.078125,8109
2000-09-14,EQIX,444.0,444.0,400.0,406.0,300.078125,8109
2000-09-15,EQIX,402.0,416.0,400.0,402.0,297.1216125488281,3600
2000-09-15,EQIX,402.0,416.0,400.0,402.0,297.1216125488281,3600
2000-09-18,EQIX,420.0,424.0,382.0,386.0,285.2960510253906,18659
2000-09-18,EQIX,420.0,424.0,382.0,386.0,285.2960510253906,18659
2000-09-19,EQIX,419.0,420.0,344.0,360.0,266.0791320800781,48038
2000-09-19,EQIX,419.0,420.0,344.0,360.0,266.0791320800781,48038
2000-09-20,EQIX,368.0,370.0,312.0,332.0,245.384033203125,24103
2000-09-20,EQIX,368.0,370.0,312.0,332.0,245.384033203125,24103
2000-09-21,EQIX,330.0,344.0,326.0,340.0,251.29681396484372,25247
2000-09-21,EQIX,330.0,344.0,326.0,340.0,251.29681396484372,25247
2000-09-22,EQIX,307.0,346.0,302.0,338.0,249.81874084472656,8456
2000-09-22,EQIX,307.0,346.0,302.0,338.0,249.81874084472656,8456
2000-09-25,EQIX,340.0,346.0,300.0,302.0,223.21080017089844,21066
2000-09-25,EQIX,340.0,346.0,300.0,302.0,223.21080017089844,21066
2000-09-26,EQIX,316.0,318.0,288.0,296.0,218.7761383056641,19634
2000-09-26,EQIX,316.0,318.0,288.0,296.0,218.7761383056641,19634
2000-09-27,EQIX,301.0,302.0,276.0,299.0,220.99343872070312,16756
2000-09-27,EQIX,301.0,302.0,276.0,299.0,220.99343872070312,16756
2000-09-28,EQIX,296.0,344.0,292.0,320.0,236.51470947265625,22041
2000-09-28,EQIX,296.0,344.0,292.0,320.0,236.51470947265625,22041
2000-09-29,EQIX,323.0,324.0,279.0,284.0,209.9068298339844,19125
2000-09-29,EQIX,323.0,324.0,279.0,284.0,209.9068298339844,19125
2000-10-02,EQIX,300.0,301.0,268.0,272.0,201.03759765625,6888
2000-10-02,EQIX,300.0,301.0,268.0,272.0,201.03759765625,6888
2000-10-03,EQIX,275.0,284.0,248.0,254.0,187.73358154296875,10128
2000-10-03,EQIX,275.0,284.0,248.0,254.0,187.73358154296875,10128
