Date,Ticker,Open,High,Low,Close,Adj Close,Volume
1981-12-31,ROK,8.140625,8.25,8.03125,8.1875,0.7436579465866089,109600
1981-12-31,ROK,8.140625,8.25,8.03125,8.1875,0.7436579465866089,109600
1982-01-04,ROK,8.15625,8.15625,8.125,8.125,0.7379813194274902,80800
1982-01-04,ROK,8.15625,8.15625,8.125,8.125,0.7379813194274902,80800
1982-01-05,ROK,8.03125,8.125,7.90625,7.90625,0.7181126475334167,138400
1982-01-05,ROK,8.03125,8.125,7.90625,7.90625,0.7181126475334167,138400
1982-01-06,ROK,7.78125,7.90625,7.65625,7.71875,0.7010816931724548,151600
1982-01-06,ROK,7.78125,7.90625,7.65625,7.71875,0.7010816931724548,151600
1982-01-07,ROK,7.6875,7.71875,7.625,7.65625,0.6954053640365601,96800
1982-01-07,ROK,7.6875,7.71875,7.625,7.65625,0.6954053640365601,96800
1982-01-08,ROK,7.71875,7.75,7.65625,7.6875,0.6982438564300537,258800
1982-01-08,ROK,7.71875,7.75,7.65625,7.6875,0.6982438564300537,258800
1982-01-11,ROK,7.59375,7.6875,7.46875,7.46875,0.6783746480941772,160000
1982-01-11,ROK,7.59375,7.6875,7.46875,7.46875,0.6783746480941772,160000
1982-01-12,ROK,7.3125,7.46875,7.125,7.28125,0.6613443493843079,249200
1982-01-12,ROK,7.3125,7.46875,7.125,7.28125,0.6613443493843079,249200
1982-01-13,ROK,7.21875,7.3125,7.125,7.15625,0.6499912142753601,227200
1982-01-13,ROK,7.21875,7.3125,7.125,7.15625,0.6499912142753601,227200
1982-01-14,ROK,7.1875,7.25,7.125,7.1875,0.6528298258781433,52800
1982-01-14,ROK,7.1875,7.25,7.125,7.1875,0.6528298258781433,52800
1982-01-15,ROK,7.25,7.3125,7.1875,7.25,0.6585058569908142,75200
1982-01-15,ROK,7.25,7.3125,7.1875,7.25,0.6585058569908142,75200
1982-01-18,ROK,7.1875,7.25,7.09375,7.09375,0.6443145275115967,243200
1982-01-18,ROK,7.1875,7.25,7.09375,7.09375,0.6443145275115967,243200
1982-01-19,ROK,7.28125,7.34375,7.21875,7.3125,0.6641829013824463,395600
1982-01-19,ROK,7.28125,7.34375,7.21875,7.3125,0.6641829013824463,395600
1982-01-20,ROK,7.5,7.65625,7.3125,7.59375,0.6897284388542175,548000
1982-01-20,ROK,7.5,7.65625,7.3125,7.59375,0.6897284388542175,548000
