N,Trial,K_NF,K_nonNF_GMM,eps_NF_GMM,eps_nonNF_GMM,eps_ResDRO,loss_NF_GMM,loss_nonNF_GMM,loss_ResDRO,loss_RNW,loss_LDR,loss_NN_DR,time_NF_gmm,time_nonNF_gmm,time_ResDRO,time_RNW,time_LDR,time_NN_DR,time_total
50,0,1.0,1.0,10.0,9.0,0.01,316.11809105829747,306.8815084377218,206.46457872097233,259.2730197106525,115.02643786770936,264.3196782841874,767.3820033334196,745.6194267068058,75.32976578176022,15.3539675809443,0.05753452889621258,4.843470256775618,1608.5949165895581
50,1,2.0,2.0,1.0,0.9,50.0,447.2933242001086,150.37160714981127,180.19663238663023,293.9395190902212,516.5172963546964,164.76863260997618,782.0784499123693,775.8364754002541,55.54413226433098,16.453139072284102,0.0671286266297102,4.102137563750148,1634.090185629204
50,2,2.0,2.0,0.01,0.5,0.9,378.51406804148803,387.60735182604765,357.0252513104347,278.5053564744525,298.8564821950744,230.51747534687226,805.3089173007756,785.7017094697803,32.35185659490526,14.524906845763326,0.09603331051766872,3.303912043571472,1641.2940359860659
50,3,2.0,2.0,90.0,9.0,50.0,362.1729941866852,276.691787678729,289.1363175459162,246.7890240593949,235.55970945611153,293.6402842234585,775.9431329015642,771.8359814621508,63.51901875063777,13.507120484486222,0.027419401332736015,3.0445088613778353,1627.8797529265285
50,4,2.0,2.0,90.0,90.0,50.0,101.98098050549332,101.98098057759344,101.33390748233944,293.90919545651013,95.13562016215931,88.47801752222622,755.8382271677256,772.9517484996468,78.11431596428156,13.8521239887923,0.07801067270338535,3.9630370158702135,1624.7987391278148
50,5,2.0,2.0,10.0,0.5,50.0,57.581375706388066,37.73089422177381,106.56772767562666,267.025665540028,127.60415127280045,210.4210674199861,780.1692496668547,696.2856966089457,77.1369885019958,14.419057693332434,0.03242502547800541,3.9775780588388443,1572.022341856733
50,6,2.0,2.0,0.01,0.05,0.5,562.3877478511525,568.7294486190435,504.2480006989767,254.49830947104948,391.1435233803092,135.8575129496349,773.7002861984074,765.9306477960199,73.01077030785382,15.544647561386228,0.06442052870988846,3.4574353136122227,1631.709140162915
50,7,2.0,2.0,0.01,0.1,50.0,99.83567470012332,93.65759313585477,113.67184211803725,212.59913850754094,424.00877682875955,157.03215487208973,785.4181666225195,768.1280824039131,56.34973894804716,16.080648861825466,0.02723417803645134,5.723382338881493,1631.7281579002738
50,8,1.0,1.0,0.01,0.01,50.0,43.4345421872376,35.35068193319837,80.16560881475398,260.10806454169193,121.10402840036525,80.38997047800197,739.2893543932587,779.596646938473,71.45552358403802,19.016572766005993,0.031159479171037674,3.7213036753237247,1613.1149905156344
50,9,2.0,2.0,0.01,0.05,1.0,42.66122205592854,45.36320961239195,38.18025498786435,209.47705865830576,69.04959598309279,109.16711256284816,763.6782858669758,787.9488471634686,57.05850560963154,14.243368446826935,0.06320294365286827,5.358265211805701,1628.3513319939375
50,10,2.0,2.0,0.01,0.09,50.0,93.11966979891571,94.439193492858,173.99722442357825,279.0708177447704,91.49262447041329,92.47367459278922,769.3054298665375,773.7159402668476,66.62739411182702,16.549276759848,0.12219490297138691,5.923084789887071,1632.2593309748918
50,11,2.0,2.0,10.0,0.05,0.01,155.36640653449118,137.622017198966,233.04647088230942,175.77413746169265,200.89037119540694,144.89486708753662,798.1026283092797,787.4035057257861,34.71748222783208,14.69481909647584,0.03232559561729431,3.884418686851859,1638.8418245054781
50,12,2.0,2.0,0.01,0.5,90.0,36.136542292518165,38.8050910146923,105.1154151068524,214.81568642477953,120.91948985359053,85.53475605718744,779.0721396002918,792.2107731010765,40.96424776315689,19.077404618263245,0.02961946278810501,4.300875172019005,1635.6597508955747
50,13,2.0,2.0,90.0,90.0,90.0,103.42875196852094,103.42875195195043,103.42875198212698,287.76196356890546,103.42875198213545,95.43310455171553,771.8678994365036,769.1976559031755,70.36871498823166,13.25163752399385,0.04135486111044884,1.96094118244946,1626.6898237094283
50,14,2.0,2.0,90.0,90.0,50.0,113.20041555083873,113.20041557227317,113.20041557238646,281.4654790889926,113.20041557249418,74.12757774290435,751.1654886025935,785.3326115421951,59.91201853379607,17.639227399602532,0.03040422685444355,4.312626287341118,1618.3967937715352
50,15,2.0,2.0,1.0,1.0,50.0,54.376203269430846,51.14705467384401,120.87407077408757,249.49501694440718,192.22704643532495,108.30165717737056,805.2566070128232,778.1595503501594,35.66864995099604,14.374176209792495,0.09697074815630913,4.917410425841808,1638.4787376690656
50,16,2.0,2.0,0.01,0.1,90.0,19.118971462705368,20.305079823100847,86.85129445794288,295.01873236850565,108.04007234941501,15.412983669114912,784.8099614940584,758.4150366652757,65.22974087484181,12.76810878701508,0.028097156435251236,4.329369092360139,1625.582737967372
