N,Trial,K_NF,K_nonNF_GMM,eps_NF_GMM,eps_nonNF_GMM,eps_ResDRO,loss_NF_GMM,loss_nonNF_GMM,loss_ResDRO,loss_RNW,loss_LDR,loss_NN_DR,time_NF_gmm,time_nonNF_gmm,time_ResDRO,time_RNW,time_LDR,time_NN_DR,time_total
50,0,3.0,3.0,0.1,0.05,0.9,45.62476394927305,45.240668524476256,37.220716653896616,33.54046685502436,38.87017535754303,51.86036013663233,790.2706833779812,794.0854557752609,54.29910700023174,5.820797402411699,0.026802049949765205,1.3057381585240364,1645.8092036359012
50,1,3.0,3.0,1.0,0.9,5.0,4.685890883058705,4.161889657120626,20.375364855664074,17.86982718707084,23.427370404886872,43.408942902937945,783.628396762535,812.968436807394,48.54881840571761,5.997225007042289,0.023151639848947525,1.4175173453986645,1652.5845117494464
50,2,3.0,3.0,0.01,0.1,5.0,14.272784448986743,14.305691470663424,14.362483196434978,14.736520673954962,15.07110258521777,59.16575230257836,770.525296041742,804.9828658867627,57.185273841023445,7.687777312472463,0.03212017938494682,1.3289181385189295,1641.7432462088764
50,3,3.0,3.0,0.01,0.01,5.0,14.90263317429733,16.00350299865486,20.367348385872106,23.36286696172286,21.874666935747868,51.61589721427924,819.9082106463611,783.9677551425993,39.40482606738806,6.465732419863343,0.02773045375943184,1.3248719163239002,1651.1000848468393
50,4,3.0,3.0,1.0,0.01,0.01,14.872716176588703,12.583169878607897,6.953484620186735,9.789279140293054,15.22494442862486,62.71823815386078,800.676689857617,797.8881576471031,40.92880072258413,10.923503130674362,0.024619396775960922,1.3186491634696722,1651.7608603611588
50,5,3.0,3.0,0.01,0.05,0.1,4.78633972465494,4.481871151731815,13.031532272721945,12.81425372771227,9.124056812286227,30.32212709608766,773.1437726169825,735.1522100772709,66.92167018912733,6.5634975749999285,0.020214788615703583,1.395161796361208,1583.1969432644546
50,6,3.0,3.0,0.05,0.09,0.01,27.565617491972557,31.58451010492351,34.95010587352438,32.584160152838294,38.80016470653055,56.99966778475958,759.0510161947459,803.9215915743262,71.1997428163886,6.177053268998861,0.020336661487817764,1.318458704277873,1641.6893469635397
50,7,3.0,3.0,1.0,1.0,0.5,25.244573427085786,24.328939343513074,35.81074733773587,36.673884283357474,39.337112447845186,45.27008250646223,778.2398849967867,771.9627444092184,66.40616047941148,7.864566868171096,0.019511574879288673,1.2510901242494583,1625.7447354644537
50,8,3.0,3.0,1.0,1.0,1.0,15.022233210765643,14.905040181027278,14.75321418646411,14.745583569408673,15.593246297964566,59.65639612845662,715.5636510979384,783.0086092315614,77.85293966718018,6.225010948255658,0.02516399323940277,1.3201983664184809,1583.9964226502925
50,9,3.0,3.0,5.0,9.0,0.1,8.941752354664189,16.42746703653766,15.957989851558828,15.949321878864234,15.84139982007151,69.71136547344648,716.8936742972583,786.245893239975,78.68534112349153,6.3947202153503895,0.02245405502617359,1.390569418668747,1589.6340729761869
