Date,Ticker,Action
1996-01-02,LLX-19,add
1996-01-02,LLY,add
1996-01-02,LMT,add
1996-01-02,LNC,add
1996-01-02,LOR-19,add
1996-01-02,LOW,add
1996-01-02,LPX,add
1996-01-02,LSI-20,add
1996-01-02,LUB,add
1996-01-02,LUV,add
1996-01-02,M,add
1996-01-02,MAS,add
1996-01-02,MAT,add
1996-01-02,MAY-20,add
1996-01-02,MCD,add
1996-01-02,MCIC-19,add
1996-01-02,MCO,add
1996-01-02,MD-19,add
1996-01-02,MDP,add
1996-01-02,MDR,add
1996-01-02,MDT,add
1996-01-02,MEA-20,add
1996-01-02,MEE-20,add
1996-01-02,MEL-20,add
1996-01-02,MER-20,add
1996-01-02,MII-19,add
1996-01-02,MIL-20,add
1996-01-02,MKG-20,add
1996-01-02,MMC,add
1996-01-02,MMM,add
1996-01-02,MNR-19,add
1996-01-02,MO,add
1996-01-02,MOB-19,add
1996-01-02,MRK,add
1996-01-02,MRO,add
1996-01-02,MS,add
1996-01-02,MSFT,add
1996-01-02,MSI,add
1996-01-02,MST-19,add
1996-01-02,MTLQQ-20,add
1996-01-02,MU,add
1996-01-02,MWI-20,add
1996-01-02,MWV-20,add
1996-01-02,MYG-20,add
1996-01-02,MZIAQ-20,add
1996-01-02,NAE-19,add
1996-01-02,NAV,add
1996-01-02,NC,add
1996-01-02,NCC-20,add
1996-01-02,NEE,add
1996-01-02,NEM,add
1996-01-02,NKE,add
1996-01-02,NLC-19,add
1996-01-02,NMK-20,add
1996-01-02,NOC,add
1996-01-02,NOVL-20,add
1996-01-02,NRTLQ-20,add
1996-01-02,NSC,add
1996-01-02,NSI-20,add
1996-01-02,NSM-20,add
1996-01-02,NUE,add
1996-01-02,NWL,add
1996-01-02,NYN-19,add
1996-01-02,NYT,add
1996-01-02,OAT-20,add
1996-01-02,OKE,add
1996-01-02,OM-19,add
1996-01-02,OMX-20,add
1996-01-02,ONE-20,add
1996-01-02,ORCL,add
1996-01-02,ORX-19,add
1996-01-02,OWENQ-20,add
1996-01-02,OXY,add
1996-01-02,PAC-19,add
1996-01-02,PAS-20,add
1996-01-02,PBI,add
1996-01-02,PBY-20,add
1996-01-02,PCAR,add
1996-01-02,PCG,add
1996-01-02,PCH,add
1996-01-02,PD-20,add
1996-01-02,PDG-20,add
1996-01-02,PEG,add
1996-01-02,PEL-19,add
1996-01-02,PEP,add
1996-01-02,PET-19,add
1996-01-02,PFE,add
1996-01-02,PG,add
1996-01-02,PGL-20,add
1996-01-02,PGN-20,add
1996-01-02,PH,add
1996-01-02,PHA-20,add
1996-01-02,PHB-19,add
1996-01-02,PHM,add
1996-01-02,PKI,add
1996-01-02,PLL-20,add
1996-01-02,PMI-19,add
1996-01-02,PNC,add
1996-01-02,PNU-20,add
1996-01-02,PPG,add
1996-01-02,PPL,add
1996-01-02,PPW-19,add
1996-01-02,PRD-20,add
1996-01-02,PVN-19,add
1996-01-02,PX,add
1996-01-02,PZE-19,add
1996-01-02,R,add
1996-01-02,RAD,add
1996-01-02,RAL-20,add
1996-01-02,RBD-19,add
1996-01-02,RBK-20,add
1996-01-02,RDC,add
1996-01-02,RDS-A,add
1996-01-02,RLM-20,add
1996-01-02,RML-20,add
1996-01-02,RNB-19,add
1996-01-02,ROH-20,add
1996-01-02,ROK,add
1996-01-02,RRD,add
1996-01-02,RSHCQ-20,add
1996-01-02,RTN,add
1996-01-02,RYAN-20,add
1996-01-02,RYC-19,add
1996-01-02,RYI-20,add
1996-01-02,S,add
1996-01-02,S-20,add
1996-01-02,SAF-20,add
1996-01-02,SB-19,add
1996-01-02,SCI,add
1996-01-02,SFA-20,add
1996-01-02,SFS-20,add
1996-01-02,SGID-20,add
1996-01-02,SGP-20,add
1996-01-02,SHN-20,add
1996-01-02,SHW,add
1996-01-02,SIAL-20,add
1996-01-02,SK-19,add
1996-01-02,SLB,add
1996-01-02,SMI-20,add
1996-01-02,SMS-20,add
1996-01-02,SNA,add
1996-01-02,SNT-19,add
1996-01-02,SO,add
1996-01-02,SPGI,add
1996-01-02,SRR-20,add
1996-01-02,STI,add
1996-01-02,STJ-20,add
1996-01-02,STO-19,add
1996-01-02,SUN-20,add
1996-01-02,SVU,add
1996-01-02,SWK,add
1996-01-02,SYY,add
1996-01-02,T,add
1996-01-02,T-20,add
1996-01-02,TA-19,add
1996-01-02,TAP,add
1996-01-02,TCOMA-19,add
1996-01-02,TDM-19,add
1996-01-02,TEK-20,add
1996-01-02,TEN,add
1996-01-02,TGNA,add
1996-01-02,TGT,add
1996-01-02,THC,add
1996-01-02,THY-19,add
1996-01-02,TIN-20,add
1996-01-02,TJX,add
1996-01-02,TKR,add
1996-01-02,TLAB-20,add
1996-01-02,TMC-20,add
1996-01-02,TMC-A,add
