Ticker,start_date,end_date
GGP,2007-07-02,2008-11-13
GGP,2013-12-10,2018-01-02
GGP-20,2007-07-02,2008-11-13
GGP-20,2013-12-10,2018-08-28
GHC,2007-12-31,2014-09-22
GILD,2004-07-01,
GM,2013-06-07,
GMCR-20,2014-03-24,2016-03-03
GME,2007-12-14,2016-04-25
GNW,2005-12-02,2015-11-18
GOOG,2014-04-03,
GOOGL,2006-04-03,
GPN,2016-04-25,
GRMN,2012-12-12,
GS,2002-07-22,
H-20,2006-08-01,2007-04-10
HAR-20,2006-02-01,2017-03-13
HBI,2015-03-23,
HCA,2015-01-27,
HCBK-20,2007-02-15,2015-11-02
HCP,2008-03-31,
HFC,2018-06-18,
HII,2018-01-03,
HLT,2017-06-19,
HMA-20,2001-11-07,2007-03-02
HOG,2000-01-31,
HOLX,2016-03-30,
HOT-20,2000-11-17,2016-09-23
HP,2010-03-01,
HPE,2015-11-02,
HRL,2009-03-04,
HRS,2008-09-22,
HSIC,2015-03-18,
HSP-20,2004-05-03,2015-09-03
HST,2007-03-20,
IAC,2006-12-01,2008-08-21
ICE,2007-09-26,
IDXX,2017-01-05,
IGT-20,2001-09-04,2014-06-20
ILMN,2015-11-19,
IMNX-20,2001-09-21,2002-07-16
INCY,2017-02-28,
INFO,2017-06-02,
INTU,2000-12-11,
IPGP,2018-03-07,
IQV,2017-08-29,
IR,2010-11-17,
IRM,2009-01-06,
ISRG,2008-06-02,
IT,2017-04-05,
IVZ,2008-08-21,
JBHT,2015-07-01,
JBL,2001-01-30,2014-11-05
JCI,2010-08-27,
JEC,2007-10-26,
JEF,2007-08-27,
JHF-20,2001-06-29,2004-04-29
JKHY,2018-11-13,
JNPR,2006-06-02,
JNS-20,2000-07-13,2011-11-23
JNY-20,2001-12-17,2009-03-04
JOY-20,2011-02-28,2015-10-08
KDP,2008-10-07,2018-07-02
KEYS,2018-11-06,
KG-20,2000-10-03,2010-12-20
KHC,2015-07-06,
KIM,2006-04-03,
KMI,2012-05-25,
KMI-20,2000-12-12,2007-05-31
KMX,2010-06-28,
KORS,2013-11-13,2018-09-19
KRFT-20,2012-10-02,2015-07-06
KSE-20,2000-08-21,2007-08-27
KSU,2013-05-24,
LDOS,2009-12-21,2013-09-23
LEN,2005-10-04,
LH,2004-11-01,
LIFE-20,2008-11-24,2014-01-24
LKQ,2016-05-23,
LLL,2004-12-01,
LLTC-20,2000-04-03,2017-03-13
LM,2006-04-24,2016-12-02
LNT,2016-07-01,
LO-20,2008-06-11,2015-06-12
LRCX,2012-06-05,
LVLT-20,2014-11-05,2017-10-13
LW,2018-12-03,
LYB,2012-09-05,
MA,2008-07-18,
MAA,2016-12-02,
MAC,2013-05-09,
MCHP,2007-09-07,
MDLZ,2007-04-02,
MEDI-20,2000-06-16,2007-06-01
MEE-20,2008-06-23,2011-06-02
MERQ-20,2000-06-29,2006-01-04
MET,2000-12-11,
MFE-20,2008-12-23,2011-03-01
MGM,2017-07-26,
MHK,2013-12-23,
MHS-20,2003-08-20,2012-04-02
MI-20,2002-02-11,2011-07-06
MIR-20,2001-04-03,2003-07-17
MJN-20,2009-12-21,2017-06-15
MKC,2003-03-21,
MLM,2014-07-02,
MMI-20,2011-01-04,2012-05-22
MNK,2014-08-19,2017-07-26
MNST,2012-06-29,
MON-20,2002-08-14,2018-06-07
MOS,2011-09-26,
MPC,2011-07-01,
MSCI,2018-04-04,
MTB,2004-02-27,
MTD,2016-09-06,
MTW,2007-11-16,2009-09-01
MUR,2005-08-15,2017-07-26
MWW-20,2001-06-04,2011-12-19
MXIM,2000-05-10,2007-09-27
MXIM,2018-12-03,
MYL,2004-04-23,
NAVI,2014-05-01,2018-06-05
NBL,2007-10-08,
NBR,2000-10-18,2015-03-23
NCLH,2017-10-13,
NCR,2000-01-04,2007-10-01
NDAQ,2008-10-22,
NE,2001-01-16,2009-03-27
NE,2011-01-18,2015-07-20
NFB-20,2002-07-17,2006-12-01
NFLX,2010-12-20,
NFX,2010-12-20,
NI,2000-11-02,
NKTR,2018-03-19,
NLSN,2013-07-09,
NOV,2005-03-14,
NRG,2010-01-29,
NVDA,2001-11-30,
NVLS-20,2000-06-19,2012-06-05
NWS,2015-09-21,
NWSA,2013-07-01,
NYX-20,2007-10-25,2013-11-13
O,2015-04-07,
OI,2009-01-02,2016-12-02
OKE,2010-03-15,
ORLY,2009-03-27,
PALM-20,2000-07-28,2002-08-14
PBCT,2008-11-13,
PBG-20,2001-05-14,2010-03-01
PCL-20,2002-01-17,2016-02-22
PCP-20,2007-06-01,2016-02-01
PDCO,2005-10-11,2018-03-19
PETM-20,2012-10-05,2015-03-12
PFG,2002-07-22,
PKG,2017-07-26,
PLD,2011-06-03,
PLD-20,2003-07-17,2011-06-03
PM,2008-03-31,
PMCS-20,2001-08-03,2007-07-02
PNR,2012-10-01,
POM-20,2007-11-09,2016-03-24
PRGO,2011-12-19,
PRU,2002-07-22,
PSA,2005-08-19,
PSX,2012-05-01,
PVH,2013-02-14,
PWER-20,2000-10-23,2005-03-14
PWR,2009-07-01,
PX-20,2016-01-04,2018-10-31
PXD,2008-09-24,
PYPL,2015-07-20,
Q-20,2000-07-06,2011-04-01
QEP,2010-07-01,2015-07-01
QLGC-20,2000-12-12,2011-01-18
QRVO,2015-06-12,
RAI-20,2002-09-04,2017-07-25
RATL-20,2002-02-01,2003-02-21
RCL,2014-12-05,
RE,2017-06-19,
REG,2017-03-02,
REGN,2013-05-01,
RHI,2000-12-05,
RHT,2009-07-27,
RIG,2013-10-29,2017-07-26
RJF,2017-03-20,
RL,2007-02-02,
RMD,2017-07-26,
ROL,2018-10-01,
ROP,2009-12-23,
ROST,2009-12-21,
RRC,2007-12-21,2018-06-18
RSG,2008-12-05,
SANM,2000-06-21,2007-07-02
SAPE-20,2000-05-05,2002-05-13
SBAC,2017-09-01,
SBL-20,2000-12-11,2007-01-10
SBUX,2000-06-08,
SCG,2009-01-02,2018-09-18
SCG-20,2016-01-04,2019-01-02
SDS-20,2002-07-22,2005-08-12
SE-20,2007-01-03,2017-02-27
SEBL-20,2000-05-05,2006-02-01
SHLD,2005-03-28,2012-09-05
SIG,2015-07-29,2018-03-19
SII-20,2006-10-02,2010-08-27
SIVB,2018-03-19,
SJM,2008-11-06,
SLG,2015-03-23,
SNDK-20,2006-04-20,2016-05-12
SNI-20,2008-07-01,2018-03-07
SNPS,2017-03-16,
SOV-20,2004-07-01,2009-01-30
SPG,2002-06-26,
SRCL,2008-11-19,2018-12-03
SSP,2005-12-20,2008-07-01
STR-20,2006-12-01,2010-07-01
STX,2012-07-02,
STZ,2005-07-05,
SUNEQ-20,2007-05-31,2011-12-19
SWKS,2015-03-12,
SWN,2008-06-06,2017-04-04
SYF,2015-11-18,
SYK,2000-12-12,
SYMC,2003-03-31,
TDC,2007-10-01,2017-06-19
TDG,2016-06-03,
TE-20,2001-10-10,2016-07-01
TEG-20,2007-02-22,2015-06-30
TEL,2007-07-02,2009-06-26
TEL,2011-10-17,
TEX,2006-12-20,2008-11-06
TIE-20,2007-10-29,2012-12-24
TIF,2000-06-21,
TMUS,2009-06-30,2013-05-01
TPR,2004-09-01,
TRIP,2011-12-21,
TSCO,2014-01-24,
TSG-20,2000-03-16,2007-04-02
TSN,2005-08-11,
TSS,2008-01-02,
TT-20,2002-05-13,2008-06-06
TTWO,2018-03-19,
TWC-20,2009-03-30,2016-05-18
TWTR,2018-06-07,
UA,2016-04-08,
UAA,2014-05-01,
UAL,2015-09-03,
UDR,2016-03-07,
UHS,2014-09-22,
ULTA,2016-04-18,
UPS,2002-07-22,
URBN,2010-02-08,2017-03-20
URI,2014-09-22,
UVN-20,2001-02-07,2007-03-29
V,2009-12-21,
VAR,2007-02-12,
VIAB,2006-01-03,
VIAV,2000-07-27,2013-12-23
VLO,2004-04-29,
VNO,2005-08-12,
VRSK,2015-10-08,
VRSN,2006-02-01,
VRTS-20,2000-04-03,2005-07-05
VRTX,2013-09-23,
VSTNQ-20,2000-06-29,2006-01-03
VTR,2009-03-04,
VTSS-20,2000-12-12,2002-08-21
WAT,2002-01-02,
WCG,2018-09-17,
WDC,2009-07-01,
WEC,2008-10-31,
WELL,2009-01-30,
WFM-20,2006-01-03,2017-08-28
WFT,2005-07-22,2009-02-26
WIN,2006-07-18,2015-04-07
WLTW,2016-01-05,
WPX,2012-01-03,2014-03-24
WRK,2015-07-02,
WU,2006-10-02,
WYND,2006-08-01,2018-05-31
WYNN,2008-11-14,
XEC,2014-06-20,
XL,2001-09-04,2018-01-02
XL-20,2001-09-04,2018-09-12
XRAY,2008-11-14,
XTO-20,2004-12-29,2010-06-28
XYL,2011-11-01,
YNR-20,2000-01-06,2000-10-03
ZBH,2001-08-07,
ZION,2001-06-25,
ZTS,2013-06-24,
