Date,CL=F,^DJI,^GSPC,^TNX,^VIX
2015-01-02,,,,,
2015-01-05,52.689998626708984,17832.990234375,2058.199951171875,2.122999906539917,17.790000915527344
2015-01-06,50.040000915527344,17501.650390625,2020.5799560546875,2.0390000343322754,19.920000076293945
2015-01-07,47.93000030517578,17371.640625,2002.6099853515625,1.9630000591278076,21.1200008392334
2015-01-08,48.650001525878906,17584.51953125,2025.9000244140625,1.9539999961853027,19.309999465942383
2015-01-09,48.790000915527344,17907.869140625,2062.139892578125,2.0160000324249268,17.010000228881836
2015-01-12,48.36000061035156,17737.369140625,2044.81005859375,1.9709999561309814,17.549999237060547
2015-01-13,46.06999969482422,17640.83984375,2028.260009765625,1.9119999408721924,19.600000381469727
2015-01-14,45.88999938964844,17613.6796875,2023.030029296875,1.8899999856948853,20.559999465942383
2015-01-15,48.47999954223633,17427.08984375,2011.27001953125,1.8370000123977661,21.479999542236328
2015-01-16,46.25,17320.7109375,1992.6700439453125,1.774999976158142,22.389999389648438
2015-01-20,48.689998626708984,17511.5703125,2019.4200439453125,1.815000057220459,20.950000762939453
2015-01-21,46.38999938964844,17515.23046875,2022.550048828125,1.8070000410079956,19.889999389648438
2015-01-22,47.779998779296875,17554.279296875,2032.1199951171875,1.8530000448226929,18.850000381469727
2015-01-23,46.310001373291016,17813.98046875,2063.14990234375,1.8960000276565552,16.399999618530273
2015-01-26,45.59000015258789,17672.599609375,2051.820068359375,1.8170000314712524,16.65999984741211
2015-01-27,45.150001525878906,17678.69921875,2057.090087890625,1.8279999494552612,15.520000457763672
2015-01-28,46.22999954223633,17387.2109375,2029.550048828125,1.8250000476837158,17.219999313354492
2015-01-29,44.45000076293945,17191.369140625,2002.1600341796875,1.7239999771118164,20.440000534057617
2015-01-30,44.529998779296875,17416.849609375,2021.25,1.7510000467300415,18.760000228881836
2015-02-02,48.2400016784668,17164.94921875,1994.989990234375,1.6749999523162842,20.969999313354492
2015-02-03,49.56999969482422,17361.0390625,2020.8499755859375,1.6729999780654907,19.43000030517578
2015-02-04,53.04999923706055,17666.400390625,2050.030029296875,1.7799999713897705,17.329999923706055
2015-02-05,48.45000076293945,17673.01953125,2041.510009765625,1.7970000505447388,18.329999923706055
2015-02-06,50.47999954223633,17884.880859375,2062.52001953125,1.815000057220459,16.850000381469727
2015-02-09,51.689998626708984,17824.2890625,2055.469970703125,1.937999963760376,17.290000915527344
2015-02-10,52.86000061035156,17729.2109375,2046.739990234375,1.9479999542236328,18.549999237060547
2015-02-11,50.02000045776367,17868.759765625,2068.590087890625,1.9910000562667847,17.229999542236328
2015-02-12,48.84000015258789,17862.140625,2068.530029296875,1.9880000352859497,16.959999084472656
2015-02-13,51.209999084472656,17972.380859375,2088.47998046875,1.9859999418258667,15.34000015258789
2015-02-17,52.779998779296875,18019.349609375,2096.989990234375,2.0209999084472656,14.6899995803833
2015-02-18,53.529998779296875,18047.580078125,2100.340087890625,2.1449999809265137,15.800000190734863
2015-02-19,52.13999938964844,18029.849609375,2099.679931640625,2.065999984741211,15.449999809265137
2015-02-20,51.15999984741211,17985.76953125,2097.449951171875,2.11299991607666,15.289999961853027
2015-02-23,50.34000015258789,18140.439453125,2110.300048828125,2.132999897003174,14.300000190734863
2015-02-24,49.45000076293945,18116.83984375,2109.659912109375,2.059000015258789,14.5600004196167
2015-02-25,49.279998779296875,18209.189453125,2115.47998046875,1.9880000352859497,13.6899995803833
2015-02-26,50.9900016784668,18224.5703125,2113.860107421875,1.968999981880188,13.84000015258789
2015-02-27,48.16999816894531,18214.419921875,2110.739990234375,2.0160000324249268,13.90999984741211
2015-03-02,49.7599983215332,18132.69921875,2104.5,2.002000093460083,13.34000015258789
2015-03-03,49.59000015258789,18288.630859375,2117.389892578125,2.0840001106262207,13.039999961853027
