Trial,K_GMM,loss_GMM,loss_EW,loss_MC,loss_DRMC,loss_CMC,loss_DRCMC,loss_OTCMC,mean_GMM,mean_EW,mean_MC,mean_DRMC,mean_CMC,mean_DRCMC,mean_OTCMC
0,2.0,-4.482317034568436,-3.780083208020052,-0.48663353128962866,-3.0594918157502873,-22.41458342626459,-3.779749615771645,-3.7796092512685675,1.120579258642109,0.945020802005013,0.12165838282240717,0.7648729539375718,5.603645856566148,0.9449374039429113,0.9449023128171419
1,3.0,-9.717090042801857,-9.004918295739344,-6.950327492757011,-7.890043358659754,-10.813190911982801,-9.004348325599251,-9.004083150237241,2.4292725107004642,2.2512295739348365,1.737581873189253,1.972510839664939,2.7032977279957007,2.2510870813998127,2.2510207875593107
2,3.0,-3.6818821087031344,-3.3538095238095234,-2.2578883974992476,-3.182456490946438,-5.997358902132863,-3.3537096352688476,-3.353889852128261,0.9204705271757836,0.8384523809523808,0.5644720993748119,0.7956141227366096,1.4993397255332161,0.8384274088172119,0.8384724630320657
3,2.0,-1.4412615485595297,-0.6500511278195488,0.2889020782329027,-1.0096947634558116,-2.662925239650156,-0.6501845475563304,-0.6502391223398465,0.36031538713988254,0.16251278195488728,-0.07222551955822568,0.2524236908639529,0.6657313099125391,0.1625461368890826,0.16255978058496162
4,2.0,0.29105729885303444,0.4660230576441103,2.623405497226916,0.6797042921870746,3.1532435877521454,0.4660072787203777,0.4660487943125095,-0.07276432471325861,-0.11650576441102754,-0.655851374306729,-0.16992607304676866,-0.7883108969380364,-0.11650181968009443,-0.11651219857812738
5,2.0,-4.3412583970759515,-3.0835017543859684,0.1275922481581314,-2.1367536899804493,-13.41675040830711,-3.0830773629768533,-3.083096589484882,1.085314599268988,0.7708754385964921,-0.03189806203953285,0.5341884224951123,3.3541876020767787,0.7707693407442133,0.7707741473712205
6,2.0,1.5054757826853706,1.0552170426065164,1.5622059889226627,0.7560992799064636,6.596928826121457,1.0552302197154972,1.0551681253415928,-0.37636894567134266,-0.2638042606516291,-0.3905514972306656,-0.18902481997661585,-1.6492322065303642,-0.26380755492887425,-0.2637920313353981
7,2.0,-1.4799741360557734,-1.1159338345864664,-1.206519123851599,-0.37097898550466374,-4.674445159515052,-1.115632147251803,-1.115569839903086,0.3699935340139434,0.2789834586466166,0.3016297809628998,0.09274474637616593,1.168611289878763,0.2789080368129508,0.2788924599757715
8,3.0,2.566450240402173,2.6879278195488716,-0.06999961856784288,1.9009799566500576,7.453645282870225,2.687631638598424,2.687620998068014,-0.6416125601005432,-0.6719819548872179,0.017499904641960724,-0.4752449891625144,-1.8634113207175562,-0.671907909649606,-0.6719052495170034
9,2.0,-2.7495033676917995,-1.902210526315789,1.1679616352760749,-1.7488693471466743,-5.978485313405285,-1.9021223438256205,-1.9023248490399012,0.68737584192295,0.4755526315789472,-0.2919904088190187,0.4372173367866686,1.4946213283513214,0.47553058595640524,0.4755812122599754
10,2.0,-2.526717226758625,-2.821566917293233,-3.1896255430119402,-3.0911677785769394,-1.1250664722164905,-2.8214943067511875,-2.8217154931778454,0.6316793066896563,0.7053917293233087,0.7974063857529851,0.7727919446442348,0.2812666180541226,0.7053735766877969,0.7054288732944616
11,2.0,2.4456051663517266,2.0069844611528826,0.4305978015486299,1.645180200542341,4.6449940506416185,2.0068454646800933,2.0069201510004815,-0.6114012915879317,-0.5017461152882207,-0.10764945038715748,-0.41129505013558526,-1.1612485126604046,-0.5017113661700233,-0.5017300377501204
12,2.0,1.8671716923745425,1.9466355889724314,-0.7156158974228968,1.747772284908496,-0.937143892751963,1.9463924640942956,1.946575814067987,-0.46679292309363557,-0.48665889724310774,0.17890397435572422,-0.436943071227124,0.23428597318799074,-0.4865981160235739,-0.48664395351699674
13,2.0,0.24724317173102162,0.29143558897243105,-3.6064440709044674,-0.4386543045553094,0.480174242594521,0.2909142052558002,0.2912573624257185,-0.0618107929327554,-0.07285889724310776,0.9016110177261168,0.10966357613882736,-0.12004356064863025,-0.07272855131395005,-0.07281434060642962
14,2.0,2.2409390828555784,1.9856200501253136,-0.6353824455773899,1.5630416343481972,5.853886178354403,1.9851491009458662,1.9855690714186005,-0.5602347707138946,-0.4964050125313284,0.1588456113943475,-0.3907604085870493,-1.4634715445886004,-0.49628727523646654,-0.4963922678546501
15,3.0,9.118323782144543,9.27617744360903,7.0093690171098375,8.98189830366486,-0.11258637340905955,9.275597895216583,9.27604776049237,-2.2795809455361358,-2.3190443609022573,-1.752342254277459,-2.245474575916215,0.028146593352264895,-2.3188994738041457,-2.3190119401230924
