Trial,K_NF_GMM,K_nonNF_GMM,eps_NF_GMM,eps_nonNF_GMM,eps_kannan,loss_NF_GMM,loss_nonNF_GMM,loss_kannan,loss_nw
0,1.0,2.0,0.01,0.01,1.0,21.161619437484035,30.11866178295512,24.150298437080775,28.174036068900907
1,3.0,3.0,0.05,0.1,1.0,26.039700840187034,27.514180530053434,36.19889168239909,32.39322994183075
2,3.0,1.0,1.0,0.01,0.5,35.871947867061,35.66607991578842,35.61178319394975,33.70753876686571
3,3.0,2.0,0.01,0.01,0.01,41.85257104575132,41.6639115871717,47.469130984107835,43.541293162736594
4,3.0,3.0,0.1,1.0,0.01,98.91053443447217,143.0314900436873,61.40315222679702,79.9968138282675
5,1.0,2.0,1.0,0.05,0.5,33.96673247356934,37.024260237053085,37.79236767486764,45.640146305262036
6,3.0,2.0,0.01,0.01,0.1,37.55461600510031,44.90325777428566,48.633723134233094,34.74164305444324
7,3.0,1.0,0.01,0.05,0.5,34.03014425210654,45.69143557682449,40.33910804573453,37.390822545905664
8,2.0,1.0,0.5,0.01,0.01,25.926754708156615,28.445296560235093,26.216034649713816,32.72149323015867
9,2.0,2.0,0.5,0.01,0.05,42.147008957214496,50.20299610844372,43.004865575072785,43.768415077073236
10,3.0,2.0,0.1,0.05,1.0,3.411275661729289,20.102296909921822,8.624792554965001,4.476112024859743
11,1.0,3.0,0.05,1.0,0.01,23.979547837897762,24.3294282502906,28.05352719791582,38.747105214008464
12,3.0,1.0,0.1,0.5,0.01,35.42314688868084,33.51908162899232,34.17758370672144,52.456282289989964
13,1.0,3.0,0.1,0.01,0.5,13.653717439529446,29.74648590583276,14.503680442056902,26.730074811057612
14,3.0,1.0,0.01,0.01,0.05,30.46467108528778,29.954590968592615,27.643595972590017,35.38926168951176
15,1.0,1.0,0.01,0.05,0.5,5.937834528857222,8.556563745874536,11.627449984395234,33.00909450296708
16,2.0,3.0,0.01,0.01,1.0,27.217156500026732,81.23001408426411,34.7190048849642,41.01248981311388
17,1.0,3.0,0.05,0.1,0.5,4.390849578531322,4.376802739276413,8.094158611270673,11.353769527108376
18,3.0,2.0,0.1,1.0,0.01,44.65220444588849,47.537778156749624,43.99687012542483,51.3103712420618
19,3.0,2.0,0.1,0.01,0.05,28.60857797711269,43.77118533926568,43.555859144196305,39.42223387833402
20,2.0,3.0,0.5,0.1,0.01,38.95484174760308,37.8254871711476,40.8784817552974,44.79281477977628
